"clno","sizw","ids","dist_name","ratio"
"1",1,3,"1101 1103","Unknown",0.444444444444444
"2",2,187,"1101 1103 1102","Unknown",0.931318681318681
"3",3,36,"1103 803 1102 802 801","Wildland Fire, Unknown",0.824427480916031
"4",4,12,"501 503","Wildland Fire",0.731707317073171
"5",5,280,"703 702 701","Unknown",0.90420769919427
"6",6,19,"1031","Chemical",0.56
"7",7,444,"1071 871","Herbicide",0.600901916572717
"8",8,2,"1101","Unknown",0.333333333333333
"9",9,126,"1101 1102 1103","Unknown",0.823770491803279
"10",10,6,"1101","Unknown",0.416666666666667
"11",11,1,"1101","Unknown",0
"12",12,406,"1101 1102 1103","Unknown",0.896551724137931
"13",13,50,"1101 1103 1102","Unknown",0.81
"14",14,33,"702 703","Unknown",0.727272727272727
"15",15,63,"701 703 702","Unknown",0.746031746031746
"16",16,1,"1102","Unknown",0
"17",17,56,"703 701 702","Unknown",0.75
"18",18,44,"1103 1101 1102","Unknown",0.795454545454545
"19",19,1,"703","Unknown",0
"20",20,61,"1103 1102 1101","Unknown",0.80327868852459
"21",21,39,"1103 1101","Unknown",0.756410256410256
"22",22,226,"1101 1102 1103","Unknown",0.851769911504425
"23",23,5,"1101 1103","Unknown",0.4
"24",24,3,"1101 1102","Unknown",0.333333333333333
"25",25,72,"1103 1102 1101","Unknown",0.826388888888889
"26",26,3,"1103 1102 1101","Unknown",0.333333333333333
"27",27,1,"1103","Unknown",0
"28",28,2,"1102","Unknown",0.25
"29",29,21,"1101 1103 1102","Unknown",0.69047619047619
"30",30,1,"1103","Unknown",0
"31",31,5,"1101 1102 1103","Unknown",0.5
"32",32,1,"1102","Unknown",0
"33",33,78,"1101 1102 1103","Unknown",0.826923076923077
"34",34,2,"1102 1103","Unknown",0.25
"35",35,1,"1103","Unknown",0
"36",36,108,"1103 1102 1101","Unknown",0.865740740740741
"37",37,1,"1103","Unknown",0
"38",38,1,"1103","Unknown",0
"39",39,1,"1103","Unknown",0
"40",40,59,"1103 1101 1102","Unknown",0.669491525423729
"41",41,1,"1101","Unknown",0
"42",42,2,"1101 1103","Unknown",0.25
"43",43,1,"1102","Unknown",0
"44",44,342,"1101 1103 1102","Unknown",0.842105263157895
"45",45,1,"1101","Unknown",0
"46",46,1,"1103","Unknown",0
"47",47,2,"1102 1103","Unknown",0.25
"48",48,65,"1101 1103 1102","Unknown",0.792307692307692
"49",49,1,"701","Unknown",0
"50",50,1,"1102","Unknown",0
"51",51,10,"1071","Herbicide",0.55
"52",52,262,"1101 1102 1103","Unknown",0.799618320610687
"53",53,447,"1101 1103 1102 701 702 703","Unknown",0.879194630872483
"54",54,3,"1101","Unknown",0.333333333333333
"55",55,1,"1101","Unknown",0
"56",56,64,"1101 1102 1103","Unknown",0.78125
"57",57,118,"701 703 702 1101","Unknown",0.851694915254237
"58",58,3,"871","Herbicide",0.333333333333333
"59",59,52,"1101 1102 1103","Unknown",0.75
"60",60,5,"1101","Unknown",0.5
"61",61,5,"701","Unknown",0.4
"62",62,1,"701","Unknown",0
"63",63,8,"1101","Unknown",0.5625
"64",64,2,"1101","Unknown",0.25
"65",65,1,"701","Unknown",0
"66",66,119,"1101 1102 1103","Unknown",0.819327731092437
"67",67,11,"1071","Herbicide",0.636363636363636
"68",68,353,"701 702 703 1101","Unknown",0.890934844192635
"69",69,170,"1101 1102 1103","Unknown",0.835294117647059
"70",70,570,"1031","Chemical",0.759649122807018
"71",71,1,"701","Unknown",0
"72",72,1,"701","Unknown",0
"73",73,314,"1101 1103 1102","Unknown",0.802547770700637
"74",74,7,"1071","Herbicide",0.5
"75",75,126,"1101 701 1102 1103","Unknown",0.80952380952381
"76",76,628,"1031","Chemical",0.654458598726115
"77",77,433,"1031","Chemical",0.646651270207852
"78",78,2,"1103","Unknown",0.25
"79",79,1,"1101","Unknown",0
"80",80,67,"1031","Chemical",0.559701492537313
"81",81,1,"1101","Unknown",0
"82",82,174,"1101 1102 1103","Unknown",0.876436781609195
"83",83,9,"1031","Chemical",0.444444444444444
"84",84,13,"1071","Herbicide",0.692307692307692
"85",85,1076,"1031","Chemical",0.690985130111524
"86",86,539,"1031","Chemical",0.835807050092764
"87",87,5,"1031","Chemical",0.4
"88",88,1,"961","Other Mechanical",0
"89",89,1,"961","Other Mechanical",0
"90",90,103,"1101 1103 701 1102","Unknown",0.83495145631068
"91",91,2,"1101","Unknown",0.25
"92",92,4,"1101","Unknown",0.375
"93",93,1,"1101","Unknown",0
"94",94,3,"1101","Unknown",0.333333333333333
"95",95,421,"1031","Chemical",0.714964370546318
"96",96,3,"1031","Chemical",0.333333333333333
"97",97,3,"1101","Unknown",0.333333333333333
"98",98,1,"1101","Unknown",0
"99",99,136,"1101 1103 1102","Unknown",0.849264705882353
"100",100,9,"1071","Herbicide",0.5
"101",101,691,"1071","Herbicide",0.814761215629522
"102",102,5,"1102 1103","Unknown",0.4
"103",103,1,"1102","Unknown",0
"104",104,1,"1103","Unknown",0
"105",105,51,"1031","Chemical",0.568627450980392
"106",106,55,"1031","Chemical",0.590909090909091
"107",107,21,"1101 1103 1102","Unknown",0.714285714285714
"108",108,391,"1102 1101 1103","Unknown",0.888746803069054
"109",109,2,"1071","Herbicide",0.25
"110",110,68,"1101 1102 1103","Unknown",0.823529411764706
"111",111,237,"703 702 701","Unknown",0.856540084388186
"112",112,2,"1101","Unknown",0.25
"113",113,73,"1101 1102 1103","Unknown",0.835616438356164
"114",114,60,"1101 1102 703 1103","Unknown",0.825
"115",115,1,"1101","Unknown",0
"116",116,1,"1101","Unknown",0
"117",117,242,"1103 1102 1101","Unknown",0.919421487603306
"118",118,1,"1101","Unknown",0
"119",119,1,"1101","Unknown",0
"120",120,606,"1031","Chemical",0.827557755775578
"121",121,94,"1101 1103 1102","Unknown",0.824468085106383
"122",122,25,"1071","Herbicide",0.7
"123",123,9,"1071","Herbicide",0.611111111111111
"124",124,10,"1101","Unknown",0.55
"125",125,74,"1101 1102 1103","Unknown",0.77027027027027
"126",126,126,"1102 1101 1103","Unknown",0.849206349206349
"127",127,1,"1101","Unknown",0
"128",128,37,"1101 1103 1102","Unknown",0.797297297297297
"129",129,90,"1031","Chemical",0.605555555555556
"130",130,51,"702 703 701","Unknown",0.794117647058823
"131",131,3,"1102","Unknown",0.333333333333333
"132",132,2501,"1031","Chemical",0.684926029588165
"133",133,299,"701 702 703 1101 1103","Unknown",0.847826086956522
"134",134,36,"1071","Herbicide",0.75
"135",135,58,"1101 1102 1103","Unknown",0.818965517241379
"136",136,88,"1102 1103 1101","Unknown",0.829545454545455
"137",137,183,"1101 1103 1102","Unknown",0.882513661202186
"138",138,1,"701","Unknown",0
"139",139,1,"701","Unknown",0
"140",140,14,"701","Unknown",0.607142857142857
"141",141,132,"701 702 703 1101","Unknown",0.806818181818182
"142",142,81,"1101 1103 1102","Unknown",0.839506172839506
"143",143,20,"701 702","Unknown",0.65
"144",144,98,"1103 1101 1102","Unknown",0.872448979591837
"145",145,9,"702 701","Unknown",0.444444444444444
"146",146,1,"701","Unknown",0
"147",147,6,"1071","Herbicide",0.416666666666667
"148",148,1,"701","Unknown",0
"149",149,27,"701 703 702","Unknown",0.685185185185185
"150",150,1,"701","Unknown",0
"151",151,6,"1071","Herbicide",0.5
"152",152,16,"701 702","Unknown",0.625
"153",153,1,"701","Unknown",0
"154",154,6,"701","Unknown",0.5
"155",155,1,"701","Unknown",0
"156",156,259,"1101 1102 1103","Unknown",0.8996138996139
"157",157,2,"702 701","Unknown",0.25
"158",158,6,"701","Unknown",0.5
"159",159,1,"701","Unknown",0
"160",160,7,"1101 1103","Unknown",0.571428571428571
"161",161,23,"702 701 703","Unknown",0.543478260869565
"162",162,4,"1071","Herbicide",0.5
"163",163,25,"701 702 703","Unknown",0.7
"164",164,67,"1102 1103 702 703 1101 701","Unknown",0.843283582089552
"165",165,214,"702 703 701 1102 1103 1101","Unknown",0.838785046728972
