"clno","sizw","ids","dist_name","ratio"
"1",1,154,"1101 1103 1102","Unknown",0.869851729818781
"2",2,2,"1101","Unknown",0.333333333333333
"3",5,5,"1101 1102","Unknown",0.526315789473684
"4",7,115,"1101 1102 1103","Unknown",0.819383259911894
"5",8,3,"1101","Unknown",0.4
"6",9,1,"1101","Unknown",0
"7",10,4,"1103 1102","Unknown",0.5
"8",11,4,"1101 1102","Unknown",0.461538461538462
"9",12,156,"1102 1101 1103","Unknown",0.839024390243902
"10",15,23,"1113 1111 1112 1103 1102","Unknown",0.746987951807229
"11",17,957,"1101 1102 1103","Unknown",0.891446507978028
"12",18,72,"1103 1102 1101","Unknown",0.822299651567944
"13",19,244,"1101 1103 1102","Unknown",0.908713692946058
"14",20,36,"1102 1103 1101","Unknown",0.753623188405797
"15",21,44,"1102 1103","Unknown",0.821428571428571
"16",22,7,"1101","Unknown",0.518518518518518
"17",25,1,"1101","Unknown",0
"18",27,270,"1102 1101 1103","Unknown",0.894736842105263
"19",28,233,"1102 1112 1111 1101 1113 1103","Unknown",0.849673202614379
"20",29,5,"1111 1113 1101 1112","Unknown",0.588235294117647
"21",30,9,"1113 1101 1111","Unknown",0.6
"22",31,1,"1102","Unknown",0
"23",32,1,"1113","",0
"24",35,1,"1101","Unknown",0
"25",37,1,"1101","Unknown",0
"26",38,1,"1112","",0
"27",39,276,"1103 1101 1113 1102 1112 1111","Unknown",0.885869565217391
"28",40,103,"1101 1102 1111 1112","Unknown",0.815533980582524
"29",41,65,"1102 1101 1103","Unknown",0.761538461538461
"30",42,1,"1101","Unknown",0
"31",45,1,"1101","Unknown",0
"32",47,9,"1101 1102","Unknown",0.5
"33",48,17,"1101","Unknown",0.558823529411765
"34",49,2,"1101","Unknown",0.25
"35",50,4,"1101 1102","Unknown",0.5
"36",51,40,"1101","Unknown",0.7625
"37",52,8,"1101","Unknown",0.5625
"38",55,48,"1101 1102 1103","Unknown",0.760416666666667
"39",57,10,"1101","Unknown",0.5
"40",58,1,"1101","Unknown",0
"41",59,179,"1101 1102 1103","Unknown",0.877094972067039
"42",60,469,"1101 1102 1103","Unknown",0.893390191897655
"43",61,17,"1101 1102 1103","Unknown",0.735294117647059
"44",62,7,"1101","Unknown",0.5
"45",65,1,"1101","Unknown",0
"46",67,298,"1102 1101 1103","Unknown",0.807046979865772
"47",68,97,"1101 1102","Unknown",0.762886597938144
"48",69,11,"1102 1101 1103","Unknown",0.636363636363636
"49",70,2,"1101","Unknown",0.25
"50",71,2,"1101","Unknown",0.25
"51",72,260,"1101 1103 1102","Unknown",0.775
"52",75,80,"1101 1102 1103","Unknown",0.80625
"53",77,230,"1101 1102 1103","Unknown",0.895652173913044
"54",78,4,"1103 1102 1101","Unknown",0.5
"55",79,24,"1103 1101","Unknown",0.75
"56",80,893,"1101 1102","Unknown",0.877379619260918
"57",81,156,"1101 1102 1103","Unknown",0.846153846153846
"58",82,1,"1101","Unknown",0
"59",85,1,"1101","Unknown",0
"60",87,1,"1101","Unknown",0
"61",88,42,"1102 1101 1103","Unknown",0.773809523809524
"62",89,96,"1103 1102 1101","Unknown",0.838541666666667
"63",90,1026,"1101 1102 1103","Unknown",0.902046783625731
"64",91,4,"1101","Unknown",0.375
"65",92,1,"1101","Unknown",0
"66",95,55,"1102 1101 1103","Unknown",0.727272727272727
"67",97,54,"1102 1103 1101","Unknown",0.75
"68",98,81,"1101 1102 1103","Unknown",0.802469135802469
"69",99,83,"1101 1102 1103","Unknown",0.698795180722892
"70",100,1,"1102","Unknown",0
"71",101,10,"1101 1102","Unknown",0.6
"72",102,1,"1101","Unknown",0
"73",105,111,"1103 1102 1101","Unknown",0.801801801801802
"74",107,310,"1101 1102 1103","Unknown",0.885483870967742
"75",108,4,"1101","Unknown",0.375
"76",109,20,"1101 1102 1103","Unknown",0.7
"77",110,118,"1102 1101 1103","Unknown",0.741525423728814
"78",111,51,"1102 1101 1103","Unknown",0.725490196078431
"79",112,53,"1101 1102","Unknown",0.726415094339623
"80",115,1,"1102","Unknown",0
"81",117,133,"1101 1102 1103","Unknown",0.87593984962406
"82",118,1,"1101","Unknown",0
"83",119,2,"1102 1103","Unknown",0.25
"84",120,1,"1101","Unknown",0
"85",121,1,"1101","Unknown",0
"86",122,1,"1101","Unknown",0
"87",125,6,"1103 1102 1101","Unknown",0.5
"88",127,59,"1101 1102 1103","Unknown",0.635593220338983
"89",128,1,"1101","Unknown",0
"90",129,1,"1101","Unknown",0
"91",130,3,"1101","Unknown",0.333333333333333
"92",131,58,"1102 1103","Unknown",0.818965517241379
"93",132,8,"1101","Unknown",0.5
"94",135,1,"1101","Unknown",0
"95",137,23,"1102 1101","Unknown",0.695652173913043
"96",138,6,"1101","Unknown",0.416666666666667
"97",139,6,"1101","Unknown",0.5
"98",140,1,"1101","Unknown",0
"99",141,1,"1101","Unknown",0
"100",142,23,"1101 1102","Unknown",0.58695652173913
"101",145,23,"1101 1103 1102","Unknown",0.652173913043478
"102",147,1,"1101","Unknown",0
"103",148,406,"1101 1102 1113 1103 1111 1112","Unknown",0.895320197044335
"104",149,1,"1101","Unknown",0
"105",150,2,"1101","Unknown",0.25
"106",151,57,"1102 1101 1103","Unknown",0.789473684210526
"107",152,461,"1101 1102 1103","Unknown",0.84056399132321
"108",155,2,"1113","",0.25
"109",157,1,"1101","Unknown",0
"110",158,73,"1101 1103 1102","Unknown",0.815068493150685
"111",159,78,"1103 1102 1101","Unknown",0.801282051282051
"112",160,1,"1101","Unknown",0
"113",161,2,"1101","Unknown",0.25
"114",162,3,"1103 1101 1102","Unknown",0.333333333333333
"115",165,349,"1102 1101 1103","Unknown",0.861031518624642
"116",167,1,"1101","Unknown",0
"117",168,1,"1101","Unknown",0
"118",169,1,"1101","Unknown",0
"119",170,1,"1101","Unknown",0
"120",171,122,"1101 1103 1102","Unknown",0.840163934426229
"121",172,138,"1101 1102 1103","Unknown",0.77536231884058
"122",175,128,"1101 1103 1102","Unknown",0.78515625
"123",177,26,"1102 1103 1101","Unknown",0.730769230769231
"124",178,1,"1101","Unknown",0
"125",179,6,"1101","Unknown",0.416666666666667
"126",180,1,"1101","Unknown",0
"127",181,67,"1101","Unknown",0.798507462686567
"128",182,140,"1101 1103 1102","Unknown",0.767857142857143
"129",185,64,"1101 1102 1103","Unknown",0.7109375
"130",187,86,"1101 1102 1103","Unknown",0.75
"131",188,172,"1101 1102 1103","Unknown",0.875
"132",189,1,"1101","Unknown",0
"133",190,22,"1101 1102","Unknown",0.590909090909091
"134",191,1,"1101","Unknown",0
"135",192,3,"1101","Unknown",0.333333333333333
"136",195,1,"1101","Unknown",0
"137",197,69,"1101 1103 1102","Unknown",0.739130434782609
"138",198,1,"1101","Unknown",0
"139",199,61,"1101 1102 1103","Unknown",0.795081967213115
"140",200,3,"1101","Unknown",0.333333333333333
"141",201,1,"1102","Unknown",0
"142",202,152,"1102 1103 1113 1112 1101","Unknown",0.868421052631579
"143",205,1,"1101","Unknown",0
"144",207,238,"1101 1102 1103","Unknown",0.880252100840336
"145",208,1,"1101","Unknown",0
"146",209,214,"1102 1103 1101","Unknown",0.873831775700935
"147",210,58,"1101 1102 1103","Unknown",0.775862068965517
"148",211,48,"1101 1103 1102","Unknown",0.697916666666667
"149",212,4,"1102 1101","Unknown",0.5
"150",215,191,"1101 1102 1103","Unknown",0.832460732984293
"151",217,15,"1101 1102","Unknown",0.666666666666667
"152",218,1,"1102","Unknown",0
"153",219,793,"1101 1103 1102","Unknown",0.895334174022699
"154",220,48,"1103","Unknown",0.760416666666667
"155",221,1,"1102","Unknown",0
"156",222,34,"1101 1102 1103","Unknown",0.691176470588235
"157",225,324,"1101 1103 1102","Unknown",0.854938271604938
"158",227,1,"1101","Unknown",0
"159",228,6,"1101","Unknown",0.5
"160",229,1,"1101","Unknown",0
"161",230,46,"1102 1103 1101","Unknown",0.728260869565217
"162",231,4,"1101","Unknown",0.375
"163",232,1,"1101","Unknown",0
"164",235,175,"1101 1102 1103","Unknown",0.885714285714286
"165",237,98,"1101 1103 1102","Unknown",0.811224489795918
"166",238,3,"1102 1101","Unknown",0.333333333333333
"167",239,2,"1101","Unknown",0.25
"168",240,1,"1101","Unknown",0
"169",241,34,"1102 1103 1101","Unknown",0.764705882352941
"170",242,1,"1101","Unknown",0
"171",245,4,"1101 1102","Unknown",0.375
"172",247,1,"1101","Unknown",0
"173",248,2,"1101","Unknown",0.25
"174",249,1,"1101","Unknown",0
"175",250,3,"1101","Unknown",0.333333333333333
"176",251,413,"1101 1102 1103","Unknown",0.868038740920097
"177",252,1,"1103","Unknown",0
"178",255,197,"1101 1102 1103","Unknown",0.862944162436548
"179",257,61,"1103 1102","Unknown",0.778688524590164
"180",258,24,"1101 1102","Unknown",0.645833333333333
"181",259,1,"1101","Unknown",0
"182",260,110,"1101 1103 1102","Unknown",0.795454545454545
"183",261,27,"1102 1103 1101","Unknown",0.592592592592593
"184",262,101,"1102 1103 1101 1113 1111 1112","Unknown",0.816831683168317
"185",265,62,"1101 1102 1103","Unknown",0.733870967741935
"186",267,81,"1101 1102 1103","Unknown",0.753086419753086
"187",268,9,"1102 1101","Unknown",0.611111111111111
"188",269,2,"1101","Unknown",0.25
"189",270,33,"1102 1103 1101","Unknown",0.621212121212121
"190",271,72,"1101 1102","Unknown",0.798611111111111
"191",272,350,"1102 1103 1101","Unknown",0.912857142857143
"192",275,997,"1101 1102 1103","Unknown",0.915245737211635
"193",277,240,"1101 1103 1102","Unknown",0.814583333333333
"194",278,529,"1101 1102 1103","Unknown",0.837429111531191
"195",279,1,"1103","Unknown",0
"196",280,2,"1101","Unknown",0.25
"197",281,100,"1103 1102 1101","Unknown",0.87
"198",282,72,"1102 1101 1103","Unknown",0.777777777777778
"199",285,3,"1102 1101","Unknown",0.333333333333333
"200",287,2,"1101","Unknown",0.25
"201",288,95,"1101 1102 1103","Unknown",0.757894736842105
"202",289,15,"1101 1102 1103","Unknown",0.6
"203",290,107,"1102 1103 1101","Unknown",0.841121495327103
"204",291,75,"1101 1102 1103","Unknown",0.76
"205",292,77,"1101 1102 1103","Unknown",0.746753246753247
"206",295,5,"1101 1103","Unknown",0.4
"207",297,14,"1101 1102","Unknown",0.5
"208",298,55,"1101 1102","Unknown",0.672727272727273
"209",299,3,"1101","Unknown",0.333333333333333
"210",300,178,"1101 1102 1103","Unknown",0.752808988764045
"211",301,129,"1102 1101 1103","Unknown",0.852713178294574
"212",302,2,"1101","Unknown",0.25
"213",305,2,"1101","Unknown",0.25
"214",307,201,"1101 1102 1103","Unknown",0.883084577114428
"215",308,57,"1101 1102 1103","Unknown",0.666666666666667
"216",309,1,"1102","Unknown",0
"217",310,149,"1101 1103 1102","Unknown",0.771812080536913
"218",311,68,"1101 1102 1103","Unknown",0.786764705882353
"219",312,113,"1101 1102 1103","Unknown",0.867256637168142
"220",315,664,"1102 1103 1101","Unknown",0.891566265060241
"221",317,17,"1101 1102","Unknown",0.588235294117647
"222",318,3,"1101","Unknown",0.333333333333333
"223",319,293,"1101 1102 1103","Unknown",0.824232081911263
"224",320,4,"1101 1102","Unknown",0.375
"225",321,1,"1102","Unknown",0
"226",322,1,"1102","Unknown",0
"227",325,34,"1101 1102","Unknown",0.764705882352941
"228",327,127,"1101","Unknown",0.854330708661417
"229",328,1,"1101","Unknown",0
"230",329,554,"1101 1102 1103","Unknown",0.897111913357401
"231",330,5,"1101","Unknown",0.5
"232",331,1,"1101","Unknown",0
"233",332,32,"1101 1102","Unknown",0.765625
"234",335,1,"1101","Unknown",0
"235",337,30,"1101 1102","Unknown",0.7
"236",338,1,"1101","Unknown",0
"237",339,4,"1101 1102 1103","Unknown",0.375
"238",340,8,"1101 1102","Unknown",0.5
"239",341,1,"1101","Unknown",0
"240",342,2,"1101","Unknown",0.25
"241",345,160,"1102 1103 1101","Unknown",0.846875
"242",347,1,"1101","Unknown",0
"243",348,1,"1101","Unknown",0
"244",349,107,"1101 1102 1103","Unknown",0.724299065420561
"245",350,69,"1101 1102 1103","Unknown",0.840579710144927
"246",351,146,"1101 1102 1103","Unknown",0.863013698630137
"247",352,1,"1101","Unknown",0
"248",355,1,"1101","Unknown",0
"249",357,93,"1101 1103 1102","Unknown",0.838709677419355
"250",358,1,"1101","Unknown",0
"251",359,1,"1101","Unknown",0
"252",360,3,"1102","Unknown",0.333333333333333
"253",361,258,"1101","Unknown",0.819767441860465
"254",362,77,"1101 1102 1103","Unknown",0.850649350649351
"255",365,60,"1103 1102","Unknown",0.7
"256",367,4,"1101","Unknown",0.375
"257",368,1,"1101","Unknown",0
"258",369,85,"1101 1102 1103","Unknown",0.835294117647059
"259",370,1,"1101","Unknown",0
"260",371,112,"1103 1102 1101","Unknown",0.857142857142857
"261",372,1,"1103","Unknown",0
"262",375,2,"1102","Unknown",0.25
"263",377,1,"1101","Unknown",0
"264",378,5,"1101","Unknown",0.4
"265",379,811,"1101 1102 1103","Unknown",0.892725030826141
"266",380,10,"1101","Unknown",0.5
"267",381,49,"1101 1102 1103","Unknown",0.714285714285714
"268",382,4,"1101","Unknown",0.5
"269",385,1,"1103","Unknown",0
"270",387,20,"1101 1102","Unknown",0.625
"271",388,70,"1102 1103 1101","Unknown",0.785714285714286
"272",389,9,"1101 1102 1103","Unknown",0.555555555555556
"273",390,5,"1101","Unknown",0.4
"274",391,3,"1102","Unknown",0.333333333333333
"275",392,1,"1101","Unknown",0
"276",395,1,"1101","Unknown",0
"277",397,1,"1101","Unknown",0
"278",398,2,"1101 1102","Unknown",0.25
"279",399,2,"1102","Unknown",0.25
"280",400,1,"1101","Unknown",0
"281",401,80,"1102 1101 1103","Unknown",0.8125
"282",402,1,"1101","Unknown",0
"283",405,139,"1103 1101 1102","Unknown",0.830935251798561
"284",407,537,"1101 1102 1103","Unknown",0.877094972067039
"285",408,1,"1101","Unknown",0
"286",409,27,"1101 1102","Unknown",0.666666666666667
"287",410,5,"1101 1103","Unknown",0.4
"288",411,9,"1101 1102 1103","Unknown",0.444444444444444
"289",412,212,"1101 1111 1103 1102 1113 1112","Unknown",0.867924528301887
"290",415,1,"1103","Unknown",0
"291",417,97,"1102 1103 1101","Unknown",0.814432989690722
"292",418,1,"1103","Unknown",0
"293",419,2,"1102 1101","Unknown",0.25
"294",420,90,"1102 1103 1101","Unknown",0.833333333333333
"295",421,1,"1103","Unknown",0
"296",422,4,"1103","Unknown",0.5
"297",425,54,"1102 1103 1101","Unknown",0.787037037037037
"298",427,54,"1101 1102 1103","Unknown",0.703703703703704
"299",428,1,"1101","Unknown",0
"300",429,611,"1102 1103 1101","Unknown",0.9189852700491
"301",430,91,"1101 1102 1103","Unknown",0.835164835164835
"302",431,51,"701 702","Unknown",0.735294117647059
"303",432,1,"1101","Unknown",0
"304",435,2,"1101","Unknown",0.25
"305",437,162,"1101 1103 1102","Unknown",0.876543209876543
"306",438,1,"1101","Unknown",0
"307",439,90,"1101 1102 1103","Unknown",0.766666666666667
"308",440,85,"1101 1102 1103","Unknown",0.841176470588235
"309",441,516,"1101 1103 1102","Unknown",0.866279069767442
"310",442,52,"1101 1102","Unknown",0.769230769230769
"311",445,798,"1102 1103 1101","Unknown",0.929824561403509
"312",447,1,"1101","Unknown",0
"313",448,4,"1101","Unknown",0.375
"314",449,6,"1101 1102","Unknown",0.583333333333333
"315",450,36,"1101 1102","Unknown",0.694444444444444
"316",451,108,"1101 1103 1102","Unknown",0.865740740740741
"317",452,137,"1102 1101 1103","Unknown",0.839416058394161
"318",455,44,"1101 1102 1103","Unknown",0.761363636363636
"319",457,1,"1102","Unknown",0
"320",458,286,"1101 1102 1103","Unknown",0.839160839160839
"321",459,57,"1103 1102 1101","Unknown",0.684210526315789
"322",460,788,"1101 1103 1102","Unknown",0.936548223350254
"323",461,79,"1103 1101 1102","Unknown",0.784810126582278
"324",462,1,"1101","Unknown",0
"325",465,1,"1101","Unknown",0
"326",467,1,"1101","Unknown",0
"327",468,5,"1103 1101","Unknown",0.5
"328",469,102,"1101 1102 1103","Unknown",0.784313725490196
"329",470,1,"1102","Unknown",0
"330",471,17,"1101 1102","Unknown",0.558823529411765
"331",472,39,"1102 1101 1103","Unknown",0.602564102564103
"332",475,800,"1101 1102 1103","Unknown",0.92875
"333",477,168,"1101 1103 1102","Unknown",0.836309523809524
"334",478,1,"1102","Unknown",0
"335",479,1,"1101","Unknown",0
"336",480,4,"1103 1102","Unknown",0.375
"337",481,49,"1101 1102","Unknown",0.714285714285714
"338",482,945,"1101 1102 1103","Unknown",0.872486772486773
"339",485,1267,"1101 1103 1102","Unknown",0.866614048934491
"340",487,1,"1101","Unknown",0
"341",488,284,"1101 1102 1103","Unknown",0.917253521126761
"342",489,1,"1101","Unknown",0
"343",490,1,"1101","Unknown",0
"344",491,1,"1103","Unknown",0
"345",492,214,"1101 1102 1103","Unknown",0.878504672897196
"346",495,7,"1101","Unknown",0.428571428571429
"347",497,7,"1101 1102","Unknown",0.571428571428571
"348",498,1,"1101","Unknown",0
"349",499,12,"1102 1103 1101","Unknown",0.541666666666667
"350",500,2,"1101 1102","Unknown",0.25
"351",501,34,"1101 1102 1103","Unknown",0.764705882352941
"352",502,51,"1101 1102 1103","Unknown",0.803921568627451
"353",505,64,"1101 1102","Unknown",0.828125
"354",507,154,"1101 1102 1103","Unknown",0.766233766233766
"355",508,175,"1102 1101 1103","Unknown",0.857142857142857
"356",509,2,"1101","Unknown",0.25
"357",510,66,"1101 1102 1103","Unknown",0.795454545454545
"358",511,846,"1101 1102 1111 1103","Unknown",0.876477541371158
"359",512,56,"1102 1101 1103","Unknown",0.8125
"360",515,54,"1101 1102 1103","Unknown",0.740740740740741
"361",517,52,"1101 1102","Unknown",0.701923076923077
"362",518,1,"1102","Unknown",0
"363",519,1,"1101","Unknown",0
"364",520,1,"1101","Unknown",0
"365",521,1,"1101","Unknown",0
"366",522,1,"1101","Unknown",0
"367",525,93,"1101 1102 1103","Unknown",0.698924731182796
"368",527,1,"1101","Unknown",0
"369",528,1,"1102","Unknown",0
"370",529,3,"1103 1101","Unknown",0.333333333333333
"371",530,1,"1101","Unknown",0
"372",531,1,"1101","Unknown",0
"373",532,56,"1101 1102 1103","Unknown",0.6875
"374",535,7,"1101 1102","Unknown",0.428571428571429
"375",537,74,"1102 1103 1101","Unknown",0.763513513513513
"376",538,121,"1101 1102 1103","Unknown",0.814049586776859
"377",539,4,"1101 1102","Unknown",0.5
"378",540,69,"1102 1103 1101","Unknown",0.673913043478261
"379",541,471,"1102 1101 1103","Unknown",0.895966029723992
"380",542,2,"1102","Unknown",0.25
"381",545,64,"1101 1102 1103","Unknown",0.765625
"382",547,58,"1102 1101 1103","Unknown",0.724137931034483
"383",548,11,"1101 1102","Unknown",0.545454545454545
"384",549,2,"1102","Unknown",0.25
"385",550,163,"1102 1101 1103","Unknown",0.843558282208589
"386",551,3,"1103 1101 1102","Unknown",0.333333333333333
"387",552,260,"1102 1103 1101","Unknown",0.878846153846154
"388",555,169,"1101 1102 1103","Unknown",0.849112426035503
"389",557,1,"1101","Unknown",0
"390",558,677,"1102 1101 1103","Unknown",0.812407680945347
"391",559,1,"1101","Unknown",0
"392",560,1,"1103","Unknown",0
"393",561,1,"1101","Unknown",0
"394",562,630,"1101 1102 1103 701 702 703","Unknown",0.911111111111111
"395",565,1,"1101","Unknown",0
"396",567,1,"1102","Unknown",0
"397",568,94,"1101 1102 1103","Unknown",0.712765957446808
"398",569,1,"1101","Unknown",0
"399",570,1,"1101","Unknown",0
"400",571,1,"1101","Unknown",0
