"","ic","method","pval","null_l","tmt_l","unknown_param","other_mechanical_param","prescribed_fire_param","wildfire_param","thinning_param","herbicide_param","clearcut_param","all_converge","valid_subset","failed_converge_names"
"1","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-54595.8411806081,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
"2","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-66851.2948267197,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
"3","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-66947.7503646205,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
"4","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-66694.5214238455,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
"5","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-66944.5835966122,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
"6","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-66948.3955521707,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
"7","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-65693.1198438367,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
"8","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-66948.3967980458,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
"9","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-66948.3965866467,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
"10","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-66948.3960066695,-78590.3218936231,"3.31796406665144,0.945389342863259,0.638721555019331,0.04836668990018","2.85900304912908,1.00465334635708,0.448392901463206,0.0917538220565415","3.73909636209745,0.963261515633016,0.726274169982805,0.0323687628679865","2.62016279547836,0.983585844393149,0.616532957996807,0.032736580585465","3.49985228089285,0.941318252939038,0.772218588120323,0.0251845064759918","2.31040595473512,0.914328954269248,0.409706630064742,0.0887331434594432","2.19781198483831,0.985083313878079,0.557551862857302,0.0191503221512305",FALSE,TRUE,",Clearcut,Herbicide"
