"","ic","method","pval","null_l","tmt_l","or_7_1_param","or_6_2_param","fl_8_3_param","fl_8_5_param","all_converge","valid_subset"
"1","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-68459.9,-69215.4883039864,"3.36367516801099,0.974671979139597,0.619316891058951,0.049146847960295","4.31240468286308,0.939945261500303,0.671889993544293,0.0853510374862565","3.06433379403896,0.94720346356721,0.610138104986587,0.0472830506749761","6.67644162728579,0.858682545532779,1.02875378713674,0.0599118673876708",TRUE,TRUE
"2","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",1,-69949.4,-69215.4883039864,"3.36367516801099,0.974671979139597,0.619316891058951,0.049146847960295","4.31240468286308,0.939945261500303,0.671889993544293,0.0853510374862565","3.06433379403896,0.94720346356721,0.610138104986587,0.0472830506749761","6.67644162728579,0.858682545532779,1.02875378713674,0.0599118673876708",TRUE,TRUE
"3","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",1,-69527.7,-69215.4883039864,"3.36367516801099,0.974671979139597,0.619316891058951,0.049146847960295","4.31240468286308,0.939945261500303,0.671889993544293,0.0853510374862565","3.06433379403896,0.94720346356721,0.610138104986587,0.0472830506749761","6.67644162728579,0.858682545532779,1.02875378713674,0.0599118673876708",TRUE,TRUE
"4","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-68978.8,-69215.4883039864,"3.36367516801099,0.974671979139597,0.619316891058951,0.049146847960295","4.31240468286308,0.939945261500303,0.671889993544293,0.0853510374862565","3.06433379403896,0.94720346356721,0.610138104986587,0.0472830506749761","6.67644162728579,0.858682545532779,1.02875378713674,0.0599118673876708",TRUE,TRUE
"5","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",1,-69948.2,-69215.4883039864,"3.36367516801099,0.974671979139597,0.619316891058951,0.049146847960295","4.31240468286308,0.939945261500303,0.671889993544293,0.0853510374862565","3.06433379403896,0.94720346356721,0.610138104986587,0.0472830506749761","6.67644162728579,0.858682545532779,1.02875378713674,0.0599118673876708",TRUE,TRUE
"6","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",1,-69953.7,-69215.4883039864,"3.36367516801099,0.974671979139597,0.619316891058951,0.049146847960295","4.31240468286308,0.939945261500303,0.671889993544293,0.0853510374862565","3.06433379403896,0.94720346356721,0.610138104986587,0.0472830506749761","6.67644162728579,0.858682545532779,1.02875378713674,0.0599118673876708",TRUE,TRUE
"7","3,0.7,1,7e-04","Nelder-Mead",0,-68459.9,-71587.645848881,"3.59537053178253,0.960002911368764,0.659017089607977,0.0497875401517388","3.33808169186803,0.989237965045694,0.536227920146562,0.0843117813980468","2.9378990002477,0.954807878177899,0.591577099438813,0.0481127297530172","2.68973357850186,0.955422416427001,0.558936065476662,0.0506638448537102",TRUE,TRUE
"8","3,0.7,1,7e-04","Nelder-Mead",0,-69949.4,-71587.645848881,"3.59537053178253,0.960002911368764,0.659017089607977,0.0497875401517388","3.33808169186803,0.989237965045694,0.536227920146562,0.0843117813980468","2.9378990002477,0.954807878177899,0.591577099438813,0.0481127297530172","2.68973357850186,0.955422416427001,0.558936065476662,0.0506638448537102",TRUE,TRUE
"9","3,0.7,1,7e-04","Nelder-Mead",0,-69527.7,-71587.645848881,"3.59537053178253,0.960002911368764,0.659017089607977,0.0497875401517388","3.33808169186803,0.989237965045694,0.536227920146562,0.0843117813980468","2.9378990002477,0.954807878177899,0.591577099438813,0.0481127297530172","2.68973357850186,0.955422416427001,0.558936065476662,0.0506638448537102",TRUE,TRUE
"10","3,0.7,1,7e-04","Nelder-Mead",0,-68978.8,-71587.645848881,"3.59537053178253,0.960002911368764,0.659017089607977,0.0497875401517388","3.33808169186803,0.989237965045694,0.536227920146562,0.0843117813980468","2.9378990002477,0.954807878177899,0.591577099438813,0.0481127297530172","2.68973357850186,0.955422416427001,0.558936065476662,0.0506638448537102",TRUE,TRUE
