"","ic","method","pval","null_l","tmt_l","null_param","oregon_param","florida_param","all_converge","valid_subset"
"1","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","Nelder-Mead",0,-54595.8411806081,-68459.8992368389,"7.12085240072609,0.992228358430934,0.790119591805422,0.0891659197609581","4.61749708023636,0.924034713958129,0.735171667523808,0.0798451947500199","2.72990588095848,0.92778067861927,0.60500129425392,0.0502449200915647",TRUE,TRUE
"2","3,0.7,1,7e-04","Nelder-Mead",0,-66851.2948267197,-69949.3881558336,"3.14471228618632,0.989318542137448,0.546462026513703,0.0688334002937072","3.35126920041802,0.991786724786442,0.552669085551504,0.0789260857338695","3.20754192017851,0.94115474729805,0.630573146888212,0.0493233891769399",TRUE,TRUE
"3","2.5,0.8,0.9,0.001","Nelder-Mead",0,-66947.7503646205,-69527.7460515285,"3.34831174569996,0.969558736649828,0.58705522563306,0.0688878708682275","2.83387502722573,1.01985936747079,0.477941682987494,0.0795619512844471","3.20468312570449,0.94272299626897,0.627401801642591,0.0491735306347508",TRUE,TRUE
"4","4,0.5,0.8,9e-04","Nelder-Mead",0,-66694.5214238455,-68978.8175131172,"3.73360876961387,0.946152426058418,0.645997328292846,0.0693027016190006","3.83120799740728,0.936675618403599,0.656271176135269,0.0789209559478941","4.24096302398656,0.902460570500526,0.775352391079743,0.0509601851572594",TRUE,TRUE
"5","2.06298813383416,0.996834375176346,0.620826880046437,0.0015131111126072","Nelder-Mead",0,-66944.5835966122,-69948.2362052235,"3.33494438309624,0.971116587487246,0.582515621699623,0.0687888892736821","3.35697567882059,0.988507263971942,0.556232426787584,0.078420018158651","3.22135027932838,0.945456028944566,0.623950240655009,0.0488141259525317",TRUE,TRUE
"6","1.416,0.984,0.444,0.101","Nelder-Mead",0,-66948.3955521707,-69953.7354080493,"3.33712937790698,0.969554868355818,0.585840946768537,0.0687644722584402","3.37638711600307,0.987385624318639,0.559492244735259,0.0783553118686105","3.2080392897074,0.943108468805997,0.627263173293024,0.0492100748056032",TRUE,TRUE
"7","5e-04,0.5,1,1","Nelder-Mead",0,-65693.1198438367,-69953.6542900362,"2.8469881910056,0.939107257167886,0.586390387433522,0.0678999555662602","3.38115832755499,0.986811902592015,0.560707730137093,0.0783284414746052","3.20796319313797,0.943114243199831,0.627250451656316,0.0492156035849989",FALSE,TRUE
"8","2.5,1,1,1","Nelder-Mead",0,-66948.3967980458,-69953.735569244,"3.33694103250021,0.969572275214478,0.585805674642065,0.0687565587856594","3.37664205351611,0.987306181450187,0.559578207545404,0.0783613154083343","3.20781385695308,0.943154372206814,0.627187946954528,0.0492121286215889",TRUE,TRUE
"9","4,0.94,0.7029,0.0546","Nelder-Mead",0,-66948.3965866467,-69953.7356734632,"3.33706183188306,0.96956356628903,0.58582789903231,0.0687589310162409","3.3765185486389,0.987319989137283,0.559554212908706,0.0783536698353387","3.20750854040292,0.943161833211652,0.627150711918632,0.0492163139593623",TRUE,TRUE
"10","4,1,1,1","Nelder-Mead",0,-66948.3960066695,-69953.7300977671,"3.33674347888392,0.969558379369537,0.585824164188568,0.0687572293927557","3.37633985708675,0.987542883621876,0.55935490094548,0.0783711243381444","3.20766481977997,0.943162793265258,0.627156537144014,0.0492136890841815",TRUE,TRUE
