"","ic","method","pval","null_l","tmt_l","unknown_param","other_mechanical_param","prescribed_fire_param","wildfire_param","thinning_param","herbicide_param","clearcut_param","wildland_fire_param","mastication_param","all_converge","valid_subset","failed_converge_names"
"1","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-67320.2793034479,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
"2","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-71512.8184391626,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
"3","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-71829.6370804798,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
"4","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-71562.7020218135,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
"5","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-71823.7402612034,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
"6","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-62182.4379342165,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
"7","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,2000,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
"8","3,0.7,1,7e-04","Nelder-Mead",0,-67320.2793034479,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
"9","3,0.7,1,7e-04","Nelder-Mead",0,-71512.8184391626,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
"10","3,0.7,1,7e-04","Nelder-Mead",0,-71829.6370804798,-86106.1749969269,"3.29696757021391,0.948813849391555,0.631895299850318,0.0488415244723008","2.83725528708949,1.01196995901962,0.433540443292427,0.0930945645135161","4.37115367020888,0.972651593798087,0.707026348264637,0.0543303576029663","2.57873925713162,0.987787414758287,0.596602967653199,0.0361406854047673","3.48014243743055,0.941430311138576,0.770096898888227,0.0251867339591094","2.41032865262279,0.935942628754366,0.404076165336838,0.0879653818902443","2.18541481568574,0.986811300443805,0.553223836010097,0.019072545409508","2.68561281937562,0.973877558280736,0.639575116970435,0.0338592313464449","1.84712672554494,0.690918865046095,0.579201419086254,0.0675382698567745",TRUE,TRUE,""
