"","ic","method","pval","null_l","tmt_l","or_7_1_param","or_6_2_param","fl_8_3_param","fl_8_5_param","all_converge","valid_subset"
"1","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-71146.3,-71405.2042119691,"4.33603340565513,0.920670533195477,0.692515621102237,0.0862427829691093","5.40420851253377,0.915005955445343,0.839681389816478,0.0672280415667016","5.84235851856955,0.885561162242664,0.902619837963912,0.0609585878823041","7.14224434515278,0.859137979601919,1.04815951233042,0.0608437284944864",TRUE,TRUE
"2","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",1,-74005.7,-71405.2042119691,"4.33603340565513,0.920670533195477,0.692515621102237,0.0862427829691093","5.40420851253377,0.915005955445343,0.839681389816478,0.0672280415667016","5.84235851856955,0.885561162242664,0.902619837963912,0.0609585878823041","7.14224434515278,0.859137979601919,1.04815951233042,0.0608437284944864",TRUE,TRUE
"3","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",1,-74195.9,-71405.2042119691,"4.33603340565513,0.920670533195477,0.692515621102237,0.0862427829691093","5.40420851253377,0.915005955445343,0.839681389816478,0.0672280415667016","5.84235851856955,0.885561162242664,0.902619837963912,0.0609585878823041","7.14224434515278,0.859137979601919,1.04815951233042,0.0608437284944864",TRUE,TRUE
"4","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",1,-74189.1,-71405.2042119691,"4.33603340565513,0.920670533195477,0.692515621102237,0.0862427829691093","5.40420851253377,0.915005955445343,0.839681389816478,0.0672280415667016","5.84235851856955,0.885561162242664,0.902619837963912,0.0609585878823041","7.14224434515278,0.859137979601919,1.04815951233042,0.0608437284944864",TRUE,TRUE
"5","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",1,-74569.3,-71405.2042119691,"4.33603340565513,0.920670533195477,0.692515621102237,0.0862427829691093","5.40420851253377,0.915005955445343,0.839681389816478,0.0672280415667016","5.84235851856955,0.885561162242664,0.902619837963912,0.0609585878823041","7.14224434515278,0.859137979601919,1.04815951233042,0.0608437284944864",TRUE,TRUE
"6","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",1,-74571.7,-71405.2042119691,"4.33603340565513,0.920670533195477,0.692515621102237,0.0862427829691093","5.40420851253377,0.915005955445343,0.839681389816478,0.0672280415667016","5.84235851856955,0.885561162242664,0.902619837963912,0.0609585878823041","7.14224434515278,0.859137979601919,1.04815951233042,0.0608437284944864",TRUE,TRUE
"7","3,0.7,1,7e-04","Nelder-Mead",0,-71146.3,-75451.7583669625,"3.40028014225816,0.98431862992689,0.545746365418567,0.0845845452887377","2.94284469347015,0.966294318968104,0.577800342105739,0.0636590393875971","3.1237270919986,0.95809216786041,0.590528572372294,0.0537388857216877","2.98986981584469,0.977393507304826,0.559772238978445,0.0521216931428123",TRUE,TRUE
"8","3,0.7,1,7e-04","Nelder-Mead",0,-74005.7,-75451.7583669625,"3.40028014225816,0.98431862992689,0.545746365418567,0.0845845452887377","2.94284469347015,0.966294318968104,0.577800342105739,0.0636590393875971","3.1237270919986,0.95809216786041,0.590528572372294,0.0537388857216877","2.98986981584469,0.977393507304826,0.559772238978445,0.0521216931428123",TRUE,TRUE
"9","3,0.7,1,7e-04","Nelder-Mead",0,-74195.9,-75451.7583669625,"3.40028014225816,0.98431862992689,0.545746365418567,0.0845845452887377","2.94284469347015,0.966294318968104,0.577800342105739,0.0636590393875971","3.1237270919986,0.95809216786041,0.590528572372294,0.0537388857216877","2.98986981584469,0.977393507304826,0.559772238978445,0.0521216931428123",TRUE,TRUE
"10","3,0.7,1,7e-04","Nelder-Mead",0,-74189.1,-75451.7583669625,"3.40028014225816,0.98431862992689,0.545746365418567,0.0845845452887377","2.94284469347015,0.966294318968104,0.577800342105739,0.0636590393875971","3.1237270919986,0.95809216786041,0.590528572372294,0.0537388857216877","2.98986981584469,0.977393507304826,0.559772238978445,0.0521216931428123",TRUE,TRUE
