"","ic","method","pval","null_l","tmt_l","unknown_param_fl","other_mechanical_param_fl","prescribed_fire_param_fl","wildfire_param_fl","thinning_param_fl","herbicide_param_fl","clearcut_param_fl","wildland_fire_param_fl","mastication_param_fl","unknown_param_or","other_mechanical_param_or","prescribed_fire_param_or","wildfire_param_or","thinning_param_or","herbicide_param_or","clearcut_param_or","wildland_fire_param_or","mastication_param_or","all_converge","valid_subset","failed_converge_names"
"1","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-86106.1749969269,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"2","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-86106.1724566625,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"3","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","Nelder-Mead",0,-86101.8221161908,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"4","3,0.7,1,7e-04","Nelder-Mead",0,-86106.1749969269,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"5","3,0.7,1,7e-04","Nelder-Mead",0,-86106.1724566625,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"6","3,0.7,1,7e-04","Nelder-Mead",0,-86101.8221161908,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"7","2.5,0.8,0.9,0.001","Nelder-Mead",0,-86106.1749969269,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"8","2.5,0.8,0.9,0.001","Nelder-Mead",0,-86106.1724566625,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"9","2.5,0.8,0.9,0.001","Nelder-Mead",0,-86101.8221161908,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"10","4,0.5,0.8,9e-04","Nelder-Mead",0,-86106.1749969269,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
